Mun,MesoRegiao,Cod_Meso
Brasília de Minas,Norte de Minas,3102
Braúnas,Vale do Rio Doce,3108
Brazópolis,Sul / Sudoeste de Minas,3110
Brumadinho,Metropolitana de Belo Horizonte,3107
Bueno Brandão,Sul / Sudoeste de Minas,3110
Buenópolis,Central Mineira,3106
Bugre,Vale do Rio Doce,3108
Buritis,Noroeste de Minas,3101
Buritizeiro,Norte de Minas,3102
Cabeceira Grande,Noroeste de Minas,3101
Cabo Verde,Sul / Sudoeste de Minas,3110
Cachoeira da Prata,Metropolitana de Belo Horizonte,3107
Cachoeira de Minas,Sul / Sudoeste de Minas,3110
Cachoeira de Pajeú,Jequitinhonha,3103
Cachoeira Dourada,Triângulo Mineiro / Alto Paranaíba,3105
Caetanópolis,Metropolitana de Belo Horizonte,3107
Caeté,Metropolitana de Belo Horizonte,3107
Caiana,Zona da Mata,3112
Cajuri,Zona da Mata,3112
Caldas,Sul / Sudoeste de Minas,3110
Camacho,Oeste de Minas,3109
Camanducaia,Sul / Sudoeste de Minas,3110
Cambuí,Sul / Sudoeste de Minas,3110
Cambuquira,Sul / Sudoeste de Minas,3110
Campanário,Vale do Rio Doce,3108
Campanha,Sul / Sudoeste de Minas,3110
Campestre,Sul / Sudoeste de Minas,3110
Campina Verde,Triângulo Mineiro / Alto Paranaíba,3105
Campo Azul,Norte de Minas,3102
Campo Belo,Oeste de Minas,3109
Campo do Meio,Sul / Sudoeste de Minas,3110
Campo Florido,Triângulo Mineiro / Alto Paranaíba,3105
Campos Altos,Triângulo Mineiro / Alto Paranaíba,3105
Campos Gerais,Sul / Sudoeste de Minas,3110
Cana Verde,Oeste de Minas,3109
Canaã,Zona da Mata,3112
Canápolis,Triângulo Mineiro / Alto Paranaíba,3105
Candeias,Oeste de Minas,3109
Cantagalo,Vale do Rio Doce,3108
Caparaó,Zona da Mata,3112
Capela Nova,Campo das Vertentes,3111
Capelinha,Jequitinhonha,3103
Capetinga,Sul / Sudoeste de Minas,3110
Capim Branco,Metropolitana de Belo Horizonte,3107
Capinópolis,Triângulo Mineiro / Alto Paranaíba,3105
Capitão Andrade,Vale do Rio Doce,3108
Capitão Enéas,Norte de Minas,3102
Capitólio,Sul / Sudoeste de Minas,3110
Caputira,Zona da Mata,3112
Caraí,Jequitinhonha,3103
Caranaíba,Campo das Vertentes,3111
Carandaí,Campo das Vertentes,3111
Carangola,Zona da Mata,3112
Caratinga,Vale do Rio Doce,3108
Carbonita,Jequitinhonha,3103
Careaçu,Sul / Sudoeste de Minas,3110
Carlos Chagas,Vale do Mucuri,3104
Carmésia,Vale do Rio Doce,3108
Carmo da Cachoeira,Sul / Sudoeste de Minas,3110
Carmo da Mata,Oeste de Minas,3109
Carmo de Minas,Sul / Sudoeste de Minas,3110
Carmo do Cajuru,Oeste de Minas,3109
Carmo do Paranaíba,Triângulo Mineiro / Alto Paranaíba,3105
Carmo do Rio Claro,Sul / Sudoeste de Minas,3110
Carmópolis de Minas,Oeste de Minas,3109
Carneirinho,Triângulo Mineiro / Alto Paranaíba,3105
Carrancas,Campo das Vertentes,3111
Carvalhópolis,Sul / Sudoeste de Minas,3110
Carvalhos,Sul / Sudoeste de Minas,3110
Casa Grande,Metropolitana de Belo Horizonte,3107
Cascalho Rico,Triângulo Mineiro / Alto Paranaíba,3105
Cássia,Sul / Sudoeste de Minas,3110
Cataguases,Zona da Mata,3112
Catas Altas,Metropolitana de Belo Horizonte,3107
Catas Altas da Noruega,Metropolitana de Belo Horizonte,3107
Catuji,Vale do Mucuri,3104
Catuti,Norte de Minas,3102
Caxambu,Sul / Sudoeste de Minas,3110
Cedro do Abaeté,Central Mineira,3106
Central de Minas,Vale do Rio Doce,3108
Centralina,Triângulo Mineiro / Alto Paranaíba,3105
Chácara,Zona da Mata,3112
Chalé,Zona da Mata,3112
Chapada do Norte,Jequitinhonha,3103
Chapada Gaúcha,Norte de Minas,3102
Chiador,Zona da Mata,3112
Cipotânea,Zona da Mata,3112
Claraval,Sul / Sudoeste de Minas,3110
Claro dos Poções,Norte de Minas,3102
Cláudio,Oeste de Minas,3109
Coimbra,Zona da Mata,3112
Coluna,Vale do Rio Doce,3108
Comendador Gomes,Triângulo Mineiro / Alto Paranaíba,3105
Comercinho,Jequitinhonha,3103
Conceição da Aparecida,Sul / Sudoeste de Minas,3110
Conceição da Barra de Minas,Campo das Vertentes,3111
Conceição das Alagoas,Triângulo Mineiro / Alto Paranaíba,3105
