REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP,Rede,Taxa de Aprovação - 2017,"IDEB
2017
(N x P)"
3 - Sudeste,31,MG,Juramento,4358,1 - Até 5000,Municipal,"100,0","6,2"
3 - Sudeste,31,MG,Juramento,4358,1 - Até 5000,Pública,"100,0","6,2"
3 - Sudeste,31,MG,Juruaia,10341,3 - 10001 até 20000,Estadual,-,-
3 - Sudeste,31,MG,Juruaia,10341,3 - 10001 até 20000,Municipal,"93,7","7,0"
3 - Sudeste,31,MG,Juruaia,10341,3 - 10001 até 20000,Pública,"93,7","7,0"
3 - Sudeste,31,MG,Juvenília,5860,2 - 5001 até 10000,Estadual,"100,0","5,9"
3 - Sudeste,31,MG,Juvenília,5860,2 - 5001 até 10000,Municipal,"98,3","4,8"
3 - Sudeste,31,MG,Juvenília,5860,2 - 5001 até 10000,Pública,"98,9","5,1"
3 - Sudeste,31,MG,Ladainha,18152,3 - 10001 até 20000,Estadual,"99,2","5,1"
3 - Sudeste,31,MG,Ladainha,18152,3 - 10001 até 20000,Pública,"98,6","5,1"
3 - Sudeste,31,MG,Lagamar,7795,2 - 5001 até 10000,Estadual,"100,0",-
3 - Sudeste,31,MG,Lagamar,7795,2 - 5001 até 10000,Municipal,"100,0","6,9"
3 - Sudeste,31,MG,Lagamar,7795,2 - 5001 até 10000,Pública,"100,0","6,9"
3 - Sudeste,31,MG,Lagoa da Prata,51204,5 - 50001 até 100000,Estadual,"99,9","7,0"
3 - Sudeste,31,MG,Lagoa da Prata,51204,5 - 50001 até 100000,Municipal,"99,8","7,5"
3 - Sudeste,31,MG,Lagoa da Prata,51204,5 - 50001 até 100000,Pública,"99,9","7,2"
3 - Sudeste,31,MG,Lagoa dos Patos,4248,1 - Até 5000,Municipal,"100,0","6,0"
3 - Sudeste,31,MG,Lagoa dos Patos,4248,1 - Até 5000,Pública,"100,0","6,0"
3 - Sudeste,31,MG,Lagoa Dourada,13056,3 - 10001 até 20000,Estadual,-,-
3 - Sudeste,31,MG,Lagoa Dourada,13056,3 - 10001 até 20000,Municipal,"99,3","7,1"
3 - Sudeste,31,MG,Lagoa Dourada,13056,3 - 10001 até 20000,Pública,"99,3","7,1"
