Município,Ano,Transferência,Valor Consolidado
Capim Branco,2017,FUNDEB,2937820.71
Capinópolis,2017,FUNDEB,4468950.30
Capitão Andrade,2017,FUNDEB,2271382.44
Capitão Enéas,2017,FUNDEB,4805558.47
Capitólio,2017,FUNDEB,1923129.64
Caputira,2017,FUNDEB,3052040.11
Caraí,2017,FUNDEB,8192326.04
Caranaíba,2017,FUNDEB,835677.35
Carandaí,2017,FUNDEB,9200456.79
Carangola,2017,FUNDEB,5700180.44
Caratinga,2017,FUNDEB,18842918.14
Carbonita,2017,FUNDEB,2975920.17
Careaçu,2017,FUNDEB,2062042.79
Carlos Chagas,2017,FUNDEB,6921709.59
Carmésia,2017,FUNDEB,1342724.50
Carmo da Cachoeira,2017,FUNDEB,4330178.72
Carmo da Mata,2017,FUNDEB,2893702.42
Carmo de Minas,2017,FUNDEB,3395155.01
Carmo do Cajuru,2017,FUNDEB,6610158.79
Carmo do Paranaíba,2017,FUNDEB,7957992.79
Carmo do Rio Claro,2017,FUNDEB,4813313.82
Carmópolis de Minas,2017,FUNDEB,5765335.65
Carneirinho,2017,FUNDEB,3219828.55
Carrancas,2017,FUNDEB,1186172.20
Carvalhópolis,2017,FUNDEB,2022840.04
Carvalhos,2017,FUNDEB,949822.44
Casa Grande,2017,FUNDEB,1027024.71
Cascalho Rico,2017,FUNDEB,1385893.56
Cássia,2017,FUNDEB,5084406.50
Cataguases,2017,FUNDEB,15234967.73
Catas Altas,2017,FUNDEB,2075941.45
Catas Altas da Noruega,2017,FUNDEB,553998.85
Catuji,2017,FUNDEB,3205139.35
Catuti,2017,FUNDEB,1816774.48
Caxambu,2017,FUNDEB,5616749.20
Cedro do Abaeté,2017,FUNDEB,503540.15
Central de Minas,2017,FUNDEB,1806696.79
Centralina,2017,FUNDEB,3290663.73
Chácara,2017,FUNDEB,1634468.98
Chalé,2017,FUNDEB,1454943.60
Chapada do Norte,2017,FUNDEB,3475935.10
Chapada Gaúcha,2017,FUNDEB,5504016.83
Chiador,2017,FUNDEB,1563362.70
Cipotânea,2017,FUNDEB,931927.66
Claraval,2017,FUNDEB,1626638.42
Claro dos Poções,2017,FUNDEB,2132594.90
Cláudio,2017,FUNDEB,10507362.31
Coimbra,2017,FUNDEB,2381836.54
Coluna,2017,FUNDEB,2071831.61
Comendador Gomes,2017,FUNDEB,1642444.41
Comercinho,2017,FUNDEB,2855158.35
Conceição da Aparecida,2017,FUNDEB,3494547.85
Conceição da Barra de Minas,2017,FUNDEB,935283.70
Conceição das Alagoas,2017,FUNDEB,11749572.50
Conceição das Pedras,2017,FUNDEB,784786.47
Conceição de Ipanema,2017,FUNDEB,1709496.57
Conceição do Mato Dentro,2017,FUNDEB,4355611.43
Conceição do Pará,2017,FUNDEB,908199.47
Conceição do Rio Verde,2017,FUNDEB,3405121.25
Conceição dos Ouros,2017,FUNDEB,4149152.24
Cônego Marinho,2017,FUNDEB,2106080.89
Confins,2017,FUNDEB,2810728.04
Congonhal,2017,FUNDEB,2855996.28
Congonhas,2017,FUNDEB,23824224.10
Congonhas do Norte,2017,FUNDEB,796288.07
Conquista,2017,FUNDEB,1865931.81
Conselheiro Lafaiete,2017,FUNDEB,33886534.42
Conselheiro Pena,2017,FUNDEB,5273513.02
Consolação,2017,FUNDEB,619734.85
Contagem,2017,FUNDEB,170650669.81
Coqueiral,2017,FUNDEB,1323328.53
Coração de Jesus,2017,FUNDEB,4437099.41
Cordisburgo,2017,FUNDEB,1284077.76
Cordislândia,2017,FUNDEB,1042688.95
Corinto,2017,FUNDEB,8235194.51
Coroaci,2017,FUNDEB,3965684.03
Coromandel,2017,FUNDEB,6621498.80
Coronel Fabriciano,2017,FUNDEB,31888849.28
Coronel Murta,2017,FUNDEB,3506681.03
Coronel Pacheco,2017,FUNDEB,1372023.53
Coronel Xavier Chaves,2017,FUNDEB,982851.86
Córrego Danta,2017,FUNDEB,746793.75
Córrego do Bom Jesus,2017,FUNDEB,866472.34
Córrego Fundo,2017,FUNDEB,2259910.49
Córrego Novo,2017,FUNDEB,1202007.44
Couto de Magalhães de Minas,2017,FUNDEB,1888779.28
Crisólita,2017,FUNDEB,2758775.88
Cristais,2017,FUNDEB,3955583.07
Cristália,2017,FUNDEB,2083324.35
Cristiano Otoni,2017,FUNDEB,2176520.93
Cristina,2017,FUNDEB,3625031.68
Crucilândia,2017,FUNDEB,1507909.28
Cruzeiro da Fortaleza,2017,FUNDEB,2887125.22
Cruzília,2017,FUNDEB,4448651.94
Cuparaque,2017,FUNDEB,1724557.87
Curral de Dentro,2017,FUNDEB,2906963.49
Curvelo,2017,FUNDEB,22125904.79
Datas,2017,FUNDEB,2215276.96
Delfim Moreira,2017,FUNDEB,2555191.37
Delfinópolis,2017,FUNDEB,3031417.08
Delta,2017,FUNDEB,6020248.56
Descoberto,2017,FUNDEB,1530736.05
Desterro de Entre Rios,2017,FUNDEB,1001423.57
Desterro do Melo,2017,FUNDEB,1540541.83
Diamantina,2017,FUNDEB,9916766.58
Diogo de Vasconcelos,2017,FUNDEB,1450962.43
Dionísio,2017,FUNDEB,1290741.37
Divinésia,2017,FUNDEB,1680451.68
Divino,2017,FUNDEB,5241248.99
Divino das Laranjeiras,2017,FUNDEB,1424460.90
Divinolândia de Minas,2017,FUNDEB,2678005.75
Divinópolis,2017,FUNDEB,44326549.31
Divisa Alegre,2017,FUNDEB,3588159.43
Divisa Nova,2017,FUNDEB,2266892.12
Divisópolis,2017,FUNDEB,3026453.73
Dom Bosco,2017,FUNDEB,978269.22
Dom Cavati,2017,FUNDEB,1544086.92
Dom Joaquim,2017,FUNDEB,1097659.96
Dom Silvério,2017,FUNDEB,1521086.07
Dom Viçoso,2017,FUNDEB,920919.13
Dona Eusébia,2017,FUNDEB,1780794.94
Dores de Campos,2017,FUNDEB,2827513.09
Dores de Guanhães,2017,FUNDEB,1651086.12
Dores do Indaiá,2017,FUNDEB,4223615.63
Dores do Turvo,2017,FUNDEB,1326891.77
Doresópolis,2017,FUNDEB,802512.60
Douradoquara,2017,FUNDEB,95970.72
Durandé,2017,FUNDEB,1762300.81
Elói Mendes,2017,FUNDEB,9069692.94
Engenheiro Caldas,2017,FUNDEB,4409971.88
Engenheiro Navarro,2017,FUNDEB,2119298.73
Entre Folhas,2017,FUNDEB,1798337.92
Entre Rios de Minas,2017,FUNDEB,3535741.81
Ervália,2017,FUNDEB,4642288.41
Esmeraldas,2017,FUNDEB,28448932.53
Espera Feliz,2017,FUNDEB,6396892.19
Espinosa,2017,FUNDEB,7078787.02
Espírito Santo do Dourado,2017,FUNDEB,1702382.50
Estiva,2017,FUNDEB,2230006.64
Estrela Dalva,2017,FUNDEB,776619.22
Estrela do Indaiá,2017,FUNDEB,630926.66
Estrela do Sul,2017,FUNDEB,1771161.86
Eugenópolis,2017,FUNDEB,2878799.78
Ewbank da Câmara,2017,FUNDEB,1425096.35
Extrema,2017,FUNDEB,21337960.50
Fama,2017,FUNDEB,676585.27
Faria Lemos,2017,FUNDEB,1187316.74
Felício dos Santos,2017,FUNDEB,2020981.07
Felisburgo,2017,FUNDEB,2667897.09
Felixlândia,2017,FUNDEB,5318506.91
Fernandes Tourinho,2017,FUNDEB,922107.65
Ferros,2017,FUNDEB,2049583.74
Fervedouro,2017,FUNDEB,2153396.89
Florestal,2017,FUNDEB,2512438.83
Formiga,2017,FUNDEB,18302353.50
Formoso,2017,FUNDEB,3108081.14
Fortaleza de Minas,2017,FUNDEB,956633.95
Fortuna de Minas,2017,FUNDEB,1856281.09
Francisco Badaró,2017,FUNDEB,1398363.46
Francisco Dumont,2017,FUNDEB,1924222.79
Francisco Sá,2017,FUNDEB,5656644.95
Franciscópolis,2017,FUNDEB,1547400.33
Frei Gaspar,2017,FUNDEB,2621732.62
Frei Inocêncio,2017,FUNDEB,2384284.51
Frei Lagonegro,2017,FUNDEB,1378500.09
Fronteira,2017,FUNDEB,4644748.07
Fronteira dos Vales,2017,FUNDEB,1401322.96
Fruta de Leite,2017,FUNDEB,1496328.17
Frutal,2017,FUNDEB,17256299.09
Funilândia,2017,FUNDEB,1728270.13
Galiléia,2017,FUNDEB,2272111.58
Gameleiras,2017,FUNDEB,1553192.40
Glaucilândia,2017,FUNDEB,917099.40
Goiabeira,2017,FUNDEB,1350452.97
Goianá,2017,FUNDEB,1164065.30
Gonçalves,2017,FUNDEB,1170575.25
Gonzaga,2017,FUNDEB,1938268.14
Gouveia,2017,FUNDEB,3208476.49
Governador Valadares,2017,FUNDEB,82892763.51
Grão Mogol,2017,FUNDEB,6078022.68
Grupiara,2017,FUNDEB,122447.85
Guanhães,2017,FUNDEB,7687894.53
Guapé,2017,FUNDEB,4070478.85
Guaraciaba,2017,FUNDEB,1533789.01
Guaraciama,2017,FUNDEB,1770343.41
Guaranésia,2017,FUNDEB,5194039.71
Guarani,2017,FUNDEB,2802549.07
Guarará,2017,FUNDEB,1818110.30
Guarda-Mor,2017,FUNDEB,2597438.31
Guaxupé,2017,FUNDEB,14768760.08
Guidoval,2017,FUNDEB,2045365.31
Guimarânia,2017,FUNDEB,2247775.07
Guiricema,2017,FUNDEB,1241365.07
Gurinhatã,2017,FUNDEB,1577699.11
Heliodora,2017,FUNDEB,1998349.90
Iapu,2017,FUNDEB,3314720.69
Ibertioga,2017,FUNDEB,1416328.24
Ibiá,2017,FUNDEB,7228474.15
Ibiaí,2017,FUNDEB,3160177.47
Ibiracatu,2017,FUNDEB,2489238.40
Ibiraci,2017,FUNDEB,2623404.30
Ibirité,2017,FUNDEB,54570726.56
Ibitiúra de Minas,2017,FUNDEB,1122524.22
Ibituruna,2017,FUNDEB,979121.59
Icaraí de Minas,2017,FUNDEB,2812327.49
Igarapé,2017,FUNDEB,13697256.97
Igaratinga,2017,FUNDEB,3312114.56
Iguatama,2017,FUNDEB,1741020.63
Ijaci,2017,FUNDEB,1864361.96
Ilicínea,2017,FUNDEB,4294374.00
Imbé de Minas,2017,FUNDEB,1991998.44
Inconfidentes,2017,FUNDEB,1985267.02
Indaiabira,2017,FUNDEB,2751860.90
Indianópolis,2017,FUNDEB,3652961.90
Ingaí,2017,FUNDEB,815581.37
