Município,Ano,Transferência,Valor Consolidado
Piedade do Rio Grande,2017,FUNDEB,998891.03
Piedade dos Gerais,2017,FUNDEB,1351581.88
Pimenta,2017,FUNDEB,2466440.74
Pingo-dÁgua,2017,FUNDEB,1981109.99
Pintópolis,2017,FUNDEB,2895865.26
Piracema,2017,FUNDEB,1296872.46
Pirajuba,2017,FUNDEB,2325818.15
Piranga,2017,FUNDEB,3310943.19
Piranguçu,2017,FUNDEB,1628682.26
Piranguinho,2017,FUNDEB,2562663.20
Pirapetinga,2017,FUNDEB,3957317.44
Pirapora,2017,FUNDEB,16654784.74
Piraúba,2017,FUNDEB,3301547.18
Pitangui,2017,FUNDEB,5510862.85
Piumhi,2017,FUNDEB,8992011.40
Planura,2017,FUNDEB,4356630.11
Poço Fundo,2017,FUNDEB,2808231.18
Poços de Caldas,2017,FUNDEB,67797866.43
Pocrane,2017,FUNDEB,1230670.45
Pompéu,2017,FUNDEB,10142116.16
Ponte Nova,2017,FUNDEB,18223732.38
Ponto Chique,2017,FUNDEB,1622000.17
Ponto dos Volantes,2017,FUNDEB,7577996.36
Porteirinha,2017,FUNDEB,9449002.41
Porto Firme,2017,FUNDEB,1105704.28
Poté,2017,FUNDEB,5310995.18
Pouso Alegre,2017,FUNDEB,49030762.04
Pouso Alto,2017,FUNDEB,2040379.44
Prados,2017,FUNDEB,2643733.15
Prata,2017,FUNDEB,7569583.73
Pratápolis,2017,FUNDEB,1981888.19
Pratinha,2017,FUNDEB,1116201.58
Presidente Bernardes,2017,FUNDEB,993204.12
Presidente Juscelino,2017,FUNDEB,1449181.28
Presidente Kubitschek,2017,FUNDEB,1723613.23
Presidente Olegário,2017,FUNDEB,6858413.95
Prudente de Morais,2017,FUNDEB,3255956.48
Quartel Geral,2017,FUNDEB,1979121.83
Queluzito,2017,FUNDEB,376096.83
Raposos,2017,FUNDEB,4764602.75
Raul Soares,2017,FUNDEB,5953559.42
Recreio,2017,FUNDEB,3316134.39
Reduto,2017,FUNDEB,2604019.46
Resende Costa,2017,FUNDEB,3743469.04
Resplendor,2017,FUNDEB,6847780.79
Ressaquinha,2017,FUNDEB,2392190.62
Riachinho,2017,FUNDEB,2247397.73
Riacho dos Machados,2017,FUNDEB,4745208.96
Ribeirão das Neves,2017,FUNDEB,71027423.87
Ribeirão Vermelho,2017,FUNDEB,1117726.83
Rio Acima,2017,FUNDEB,5120059.29
Rio Casca,2017,FUNDEB,6560971.92
Rio do Prado,2017,FUNDEB,1581124.50
Rio Doce,2017,FUNDEB,844721.22
Rio Espera,2017,FUNDEB,553206.77
Rio Manso,2017,FUNDEB,1297043.69
Rio Novo,2017,FUNDEB,2354536.05
Rio Paranaíba,2017,FUNDEB,4593290.97
Rio Pardo de Minas,2017,FUNDEB,10331187.40
Rio Piracicaba,2017,FUNDEB,4837685.59
Rio Pomba,2017,FUNDEB,3745428.75
Rio Preto,2017,FUNDEB,2447463.02
Rio Vermelho,2017,FUNDEB,4156141.32
Ritápolis,2017,FUNDEB,1189499.81
Rochedo de Minas,2017,FUNDEB,1430058.87
Rodeiro,2017,FUNDEB,2054111.67
Romaria,2017,FUNDEB,947404.18
Rosário da Limeira,2017,FUNDEB,2487488.42
Rubelita,2017,FUNDEB,1804906.97
Rubim,2017,FUNDEB,4752985.95
Sabará,2017,FUNDEB,47172573.51
Sabinópolis,2017,FUNDEB,2980090.82
Sacramento,2017,FUNDEB,7295581.09
Salinas,2017,FUNDEB,7027219.50
Salto da Divisa,2017,FUNDEB,2888416.20
Santa Bárbara,2017,FUNDEB,11455040.60
Santa Bárbara do Leste,2017,FUNDEB,3102732.58
Santa Bárbara do Monte Verde,2017,FUNDEB,1891849.98
Santa Bárbara do Tugúrio,2017,FUNDEB,2241860.83
Santa Cruz de Minas,2017,FUNDEB,1314687.08
Santa Cruz de Salinas,2017,FUNDEB,1783354.06
Santa Cruz do Escalvado,2017,FUNDEB,1644440.59
Santa Efigênia de Minas,2017,FUNDEB,1401588.21
Santa Fé de Minas,2017,FUNDEB,1129507.30
Santa Helena de Minas,2017,FUNDEB,1539084.43
Santa Juliana,2017,FUNDEB,4142380.93
Santa Luzia,2017,FUNDEB,61756256.93
Santa Margarida,2017,FUNDEB,4608700.01
Santa Maria de Itabira,2017,FUNDEB,3683158.32
Santa Maria do Salto,2017,FUNDEB,1524501.61
Santa Maria do Suaçuí,2017,FUNDEB,3660701.39
Santa Rita de Caldas,2017,FUNDEB,2017433.75
Santa Rita de Ibitipoca,2017,FUNDEB,1164076.67
Santa Rita de Jacutinga,2017,FUNDEB,2338684.56
Santa Rita de Minas,2017,FUNDEB,2222280.54
Santa Rita do Itueto,2017,FUNDEB,1997648.36
Santa Rita do Sapucaí,2017,FUNDEB,11200190.89
Santa Rosa da Serra,2017,FUNDEB,1562557.44
Santa Vitória,2017,FUNDEB,6418764.75
Santana da Vargem,2017,FUNDEB,1618153.73
Santana de Cataguases,2017,FUNDEB,1656587.20
Santana de Pirapama,2017,FUNDEB,1904356.13
Santana do Deserto,2017,FUNDEB,2051926.69
Santana do Garambéu,2017,FUNDEB,1126037.40
Santana do Jacaré,2017,FUNDEB,1203803.04
Santana do Manhuaçu,2017,FUNDEB,2376173.96
Santana do Paraíso,2017,FUNDEB,7522735.48
Santana do Riacho,2017,FUNDEB,1498034.62
Santana dos Montes,2017,FUNDEB,1504697.02
Santo Antônio do Amparo,2017,FUNDEB,5006423.76
Santo Antônio do Aventureiro,2017,FUNDEB,1233820.69
Santo Antônio do Grama,2017,FUNDEB,1478472.93
Santo Antônio do Itambé,2017,FUNDEB,1205196.27
Santo Antônio do Jacinto,2017,FUNDEB,4606029.98
Santo Antônio do Monte,2017,FUNDEB,7592328.29
Santo Antônio do Retiro,2017,FUNDEB,3762112.52
Santo Antônio do Rio Abaixo,2017,FUNDEB,623826.56
Santo Hipólito,2017,FUNDEB,953660.85
Santos Dumont,2017,FUNDEB,11446690.61
São Bento Abade,2017,FUNDEB,2080322.78
São Brás do Suaçuí,2017,FUNDEB,2158986.93
São Domingos das Dores,2017,FUNDEB,3330519.61
São Domingos do Prata,2017,FUNDEB,3818542.11
São Félix de Minas,2017,FUNDEB,1499716.86
São Francisco,2017,FUNDEB,17353024.48
São Francisco de Paula,2017,FUNDEB,2299690.04
São Francisco de Sales,2017,FUNDEB,2932807.01
São Francisco do Glória,2017,FUNDEB,1452632.98
São Geraldo,2017,FUNDEB,2042240.54
São Geraldo da Piedade,2017,FUNDEB,1791273.24
São Geraldo do Baixio,2017,FUNDEB,1087944.01
São Gonçalo do Abaeté,2017,FUNDEB,2779116.87
São Gonçalo do Pará,2017,FUNDEB,3973101.15
São Gonçalo do Rio Abaixo,2017,FUNDEB,7287210.23
São Gonçalo do Rio Preto,2017,FUNDEB,1105311.41
São Gonçalo do Sapucaí,2017,FUNDEB,7552826.88
São Gotardo,2017,FUNDEB,9824655.05
São João Batista do Glória,2017,FUNDEB,2178172.81
São João da Lagoa,2017,FUNDEB,1754353.98
São João da Mata,2017,FUNDEB,806997.06
São João da Ponte,2017,FUNDEB,11924953.60
São João das Missões,2017,FUNDEB,4213394.81
São João del Rei,2017,FUNDEB,14574590.20
São João do Manhuaçu,2017,FUNDEB,4673457.27
São João do Manteninha,2017,FUNDEB,1829339.09
São João do Oriente,2017,FUNDEB,2004238.12
São João do Pacuí,2017,FUNDEB,1544230.04
São João do Paraíso,2017,FUNDEB,4348822.20
São João Evangelista,2017,FUNDEB,5217716.11
São João Nepomuceno,2017,FUNDEB,9124924.16
São Joaquim de Bicas,2017,FUNDEB,12193021.29
São José da Barra,2017,FUNDEB,1938855.21
São José da Lapa,2017,FUNDEB,12731595.84
São José da Safira,2017,FUNDEB,2330886.93
São José da Varginha,2017,FUNDEB,1470868.09
São José do Alegre,2017,FUNDEB,1217238.79
São José do Divino,2017,FUNDEB,1557065.06
São José do Goiabal,2017,FUNDEB,1444370.44
São José do Jacuri,2017,FUNDEB,1624841.44
São José do Mantimento,2017,FUNDEB,1118558.73
São Lourenço,2017,FUNDEB,12949536.47
São Miguel do Anta,2017,FUNDEB,2145012.50
São Pedro da União,2017,FUNDEB,1724466.71
São Pedro do Suaçuí,2017,FUNDEB,1795573.01
São Pedro dos Ferros,2017,FUNDEB,2067441.01
São Romão,2017,FUNDEB,3171309.04
São Roque de Minas,2017,FUNDEB,1855432.05
São Sebastião da Bela Vista,2017,FUNDEB,2163463.55
São Sebastião da Vargem Alegre,2017,FUNDEB,1883308.07
São Sebastião do Anta,2017,FUNDEB,3827654.67
São Sebastião do Maranhão,2017,FUNDEB,1846820.04
São Sebastião do Oeste,2017,FUNDEB,4551752.42
São Sebastião do Paraíso,2017,FUNDEB,18797888.13
São Sebastião do Rio Preto,2017,FUNDEB,483561.17
São Sebastião do Rio Verde,2017,FUNDEB,1019175.33
São Thomé das Letras,2017,FUNDEB,1896370.01
São Tiago,2017,FUNDEB,2432954.80
São Tomás de Aquino,2017,FUNDEB,3133199.06
São Vicente de Minas,2017,FUNDEB,2139777.72
Sapucaí-Mirim,2017,FUNDEB,2212987.10
Sardoá,2017,FUNDEB,2822836.42
Sarzedo,2017,FUNDEB,11867400.20
Sem-Peixe,2017,FUNDEB,830334.36
Senador Amaral,2017,FUNDEB,2009986.66
Senador Cortes,2017,FUNDEB,1495600.05
Senador Firmino,2017,FUNDEB,2357866.65
Senador José Bento,2017,FUNDEB,572471.39
Senador Modestino Gonçalves,2017,FUNDEB,1421198.80
Senhora de Oliveira,2017,FUNDEB,1806453.16
Senhora do Porto,2017,FUNDEB,1186247.90
Senhora dos Remédios,2017,FUNDEB,1211923.23
Sericita,2017,FUNDEB,2734036.38
Seritinga,2017,FUNDEB,816346.24
Serra Azul de Minas,2017,FUNDEB,1226124.40
Serra da Saudade,2017,FUNDEB,451012.60
Serra do Salitre,2017,FUNDEB,4174171.51
Serra dos Aimorés,2017,FUNDEB,2367576.89
Serrania,2017,FUNDEB,2750435.36
Serranópolis de Minas,2017,FUNDEB,1627224.56
Serranos,2017,FUNDEB,1045385.20
Serro,2017,FUNDEB,4143502.48
Sete Lagoas,2017,FUNDEB,50179014.76
Setubinha,2017,FUNDEB,2486523.29
Silveirânia,2017,FUNDEB,697586.39
Silvianópolis,2017,FUNDEB,1650724.75
Simão Pereira,2017,FUNDEB,1391712.28
Simonésia,2017,FUNDEB,4756135.39
Sobrália,2017,FUNDEB,2164365.53
Soledade de Minas,2017,FUNDEB,1757389.65
Tabuleiro,2017,FUNDEB,1232520.14
Taiobeiras,2017,FUNDEB,8356692.50
Taparuba,2017,FUNDEB,1271184.25
Tapira,2017,FUNDEB,2537200.23
Tapiraí,2017,FUNDEB,793664.23
Taquaraçu de Minas,2017,FUNDEB,2817214.27
Tarumirim,2017,FUNDEB,2414785.81
Teixeiras,2017,FUNDEB,3687154.76
Teófilo Otoni,2017,FUNDEB,33183285.38
Timóteo,2017,FUNDEB,22058797.71
Tiradentes,2017,FUNDEB,2459730.82
Tiros,2017,FUNDEB,2117274.20
Tocantins,2017,FUNDEB,3230151.76
Tocos do Moji,2017,FUNDEB,1274317.61
Toledo,2017,FUNDEB,2753443.37
Tombos,2017,FUNDEB,2540378.98
Três Corações,2017,FUNDEB,20169718.73
Três Marias,2017,FUNDEB,11709603.05
Três Pontas,2017,FUNDEB,16275047.62
Tumiritinga,2017,FUNDEB,2347343.54
Tupaciguara,2017,FUNDEB,7036216.36
Turmalina,2017,FUNDEB,5768096.20
Turvolândia,2017,FUNDEB,1569579.78
Ubá,2017,FUNDEB,22740119.98
Ubaí,2017,FUNDEB,3806392.11
Ubaporanga,2017,FUNDEB,3116052.44
Uberaba,2017,FUNDEB,94249761.45
Uberlândia,2017,FUNDEB,200074785.13
Umburatiba,2017,FUNDEB,1214553.80
Unaí,2017,FUNDEB,21416959.83
União de Minas,2017,FUNDEB,1422427.42
Uruana de Minas,2017,FUNDEB,2361531.51
Urucânia,2017,FUNDEB,2906030.25
Urucuia,2017,FUNDEB,5092869.03
Vargem Alegre,2017,FUNDEB,1776509.71
Vargem Bonita,2017,FUNDEB,817976.84
Vargem Grande do Rio Pardo,2017,FUNDEB,1585165.97
Varginha,2017,FUNDEB,30207481.98
Varjão de Minas,2017,FUNDEB,2600916.79
Várzea da Palma,2017,FUNDEB,9484107.71
Varzelândia,2017,FUNDEB,6418998.56
Vazante,2017,FUNDEB,5070246.79
Verdelândia,2017,FUNDEB,3203676.79
Veredinha,2017,FUNDEB,2462957.86
Veríssimo,2017,FUNDEB,1400998.49
Vermelho Novo,2017,FUNDEB,1589605.26
Vespasiano,2017,FUNDEB,46032087.31
Viçosa,2017,FUNDEB,18480295.95
Vieiras,2017,FUNDEB,1797785.91
Virgem da Lapa,2017,FUNDEB,2839191.18
Virgínia,2017,FUNDEB,2373087.05
Virginópolis,2017,FUNDEB,3482408.14
Virgolândia,2017,FUNDEB,1537723.20
Visconde do Rio Branco,2017,FUNDEB,11188418.10
Volta Grande,2017,FUNDEB,2155717.13
Wenceslau Braz,2017,FUNDEB,757140.59
