Municipios,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Sér. Iniciais Urbana,Sér. Iniciais Rural,Sér. Finais Urbana,Sér. Finais Rural,Tempo Integral,Urbano,Rural,Tempo Integral,Integ. a Ed. Prof.,Educação Especial,AEE,Aval. no Proc.,Integ. à Ed. Prof. de nível médio,Educação Indigena/Quilombola,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Ed. Especial,Ensino Fund. Sér. Finais Rural,Ensino Médio Rural,Ensino Médio Integ. à Ed. Prof.,Ed. Indíg./ Quil.,EJA - Aval. no Proc.,EJA - Int Ed. Profis. de Nível Médio
Buenópolis,61.00,0.00,0.00,215.00,493.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,37.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bugre,0.00,0.00,0.00,70.00,132.00,128.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Buritis,230.00,0.00,10.00,570.00,"1,107.00",327.00,465.00,418.00,302.00,0.00,0.00,0.00,0.00,54.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.50,0.00,0.00,0.00,0.00,0.00,0.00
Buritizeiro,182.00,26.00,0.00,588.00,908.00,165.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,107.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cabeceira Grande,129.00,31.00,58.00,142.00,530.00,0.00,353.00,0.00,50.00,0.00,0.00,0.00,0.00,11.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cabo Verde,147.00,0.00,0.00,283.00,493.00,77.00,0.00,0.00,57.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00
Cachoeira da Prata,17.00,77.00,0.00,67.00,227.00,0.00,191.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cachoeira de Minas,0.00,167.00,0.00,265.00,647.00,102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.50,0.00,0.00,0.00,0.00,0.00,0.00
Cachoeira de Pajeú,0.00,0.00,0.00,196.00,198.00,344.00,0.00,114.00,165.00,0.00,0.00,0.00,0.00,10.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cachoeira Dourada,17.00,48.00,0.00,73.00,66.00,0.00,66.00,0.00,176.00,0.00,0.00,0.00,0.00,22.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Caetanópolis,0.00,0.00,0.00,235.00,346.00,116.00,186.00,95.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Caeté,243.00,29.00,0.00,868.00,"1,135.00",100.00,0.00,0.00,890.00,0.00,0.00,0.00,0.00,102.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,25.00,27.50,0.00,0.00,0.00,0.00,0.00,0.00
Caiana,13.00,17.00,0.00,104.00,165.00,187.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,5.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cajuri,0.00,40.00,0.00,96.00,182.00,6.00,171.00,0.00,92.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Caldas,46.00,0.00,0.00,230.00,637.00,121.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,10.00,15.00,0.00,0.00,84.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Camacho,0.00,34.00,0.00,64.00,161.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Camanducaia,33.00,487.00,42.00,447.00,"1,054.00",111.00,272.00,70.00,185.00,0.00,0.00,0.00,0.00,31.00,0.00,130.00,0.00,0.00,0.00,0.00,0.00,0.00,23.50,0.00,0.00,0.00,0.00,0.00,0.00
Cambuí,393.00,56.00,118.00,419.00,880.00,280.00,0.00,167.00,91.00,0.00,0.00,0.00,0.00,23.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00
Cambuquira,197.00,14.00,152.00,121.00,465.00,14.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,50.00,36.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00
Campanário,40.00,42.00,0.00,96.00,262.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Campanha,171.00,0.00,144.00,185.00,581.00,35.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,17.00,5.00,26.00,0.00,0.00,103.00,0.00,0.00,0.00,67.00,0.00,0.00,0.00,0.00,0.00,0.00
Campestre,36.00,87.00,0.00,370.00,634.00,400.00,541.00,102.00,0.00,0.00,0.00,0.00,0.00,48.00,8.00,46.00,0.00,0.00,42.00,0.00,12.00,0.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00
Campina Verde,107.00,0.00,14.00,245.00,481.00,95.00,71.00,85.00,0.00,0.00,0.00,0.00,0.00,36.00,18.00,32.00,0.00,0.00,58.00,0.00,44.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Campo Azul,45.00,19.00,30.00,69.00,211.00,97.00,0.00,67.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Campo Belo,441.00,1.00,380.00,443.00,"1,751.00",85.00,0.00,0.00,548.00,0.00,0.00,0.00,0.00,113.00,78.00,56.00,0.00,0.00,98.00,0.00,102.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00
Campo do Meio,0.00,0.00,0.00,207.00,757.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,18.00,0.00,0.00,106.00,0.00,59.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00
Campo Florido,180.00,0.00,49.00,155.00,583.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,40.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Campos Altos,298.00,93.00,54.00,324.00,412.00,36.00,338.00,0.00,215.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00
Campos Gerais,465.00,0.00,0.00,464.00,312.00,242.00,156.00,49.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00
Cana Verde,0.00,0.00,0.00,112.00,309.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Canaã,0.00,31.00,0.00,104.00,0.00,152.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Canápolis,100.00,0.00,0.00,244.00,443.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,55.00,8.00,0.00,0.00,42.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00
Candeias,56.00,0.00,0.00,215.00,549.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,0.00,0.00,0.00,0.00,0.00
Cantagalo,0.00,0.00,0.00,121.00,268.00,68.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Caparaó,44.00,0.00,19.00,137.00,205.00,145.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,12.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Capela Nova,0.00,0.00,0.00,83.00,167.00,126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Capelinha,386.00,0.00,0.00,"1,030.00",0.00,886.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,4.00,64.00,0.00,124.00,0.00,0.00,0.00,0.00,55.50,0.00,0.00,0.00,0.00,0.00,0.00
Capetinga,0.00,0.00,0.00,142.00,530.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,28.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Capim Branco,0.00,0.00,0.00,267.00,617.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00
Capinópolis,0.00,164.00,0.00,281.00,748.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166.00,63.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Capitão Andrade,0.00,182.00,0.00,123.00,368.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Capitão Enéas,24.00,96.00,27.00,369.00,315.00,35.00,238.00,16.00,305.00,0.00,0.00,0.00,0.00,21.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Capitólio,125.00,9.00,0.00,175.00,68.00,40.00,0.00,0.00,115.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.50,0.00,0.00,0.00,0.00,0.00,0.00
Caputira,50.00,0.00,0.00,212.00,192.00,283.00,0.00,158.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00
Caraí,115.00,71.00,0.00,429.00,0.00,596.00,144.00,336.00,599.00,0.00,0.00,0.00,0.00,3.00,0.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Caranaíba,0.00,0.00,0.00,65.00,108.00,91.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carandaí,0.00,195.00,0.00,556.00,"1,068.00",126.00,855.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,1.00,78.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00
Carangola,230.00,85.00,71.00,535.00,301.00,192.00,85.00,82.00,29.00,0.00,0.00,0.00,0.00,67.00,31.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Caratinga,"1,036.00",1.00,0.00,"1,785.00","2,353.00",228.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,165.00,69.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,143.50,0.00,0.00,0.00,0.00,0.00,0.00
Carbonita,0.00,159.00,0.00,202.00,327.00,107.00,0.00,132.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.50,0.00,0.00,0.00,0.00,0.00,0.00
Careaçu,61.00,0.00,0.00,156.00,433.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carlos Chagas,0.00,54.00,0.00,377.00,899.00,254.00,214.00,118.00,43.00,0.00,0.00,0.00,0.00,62.00,0.00,17.00,0.00,53.00,41.00,0.00,0.00,0.00,50.50,0.00,0.00,0.00,0.00,0.00,0.00
Carmésia,0.00,0.00,0.00,57.00,153.00,0.00,156.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carmo da Cachoeira,43.00,0.00,102.00,139.00,735.00,52.00,0.00,0.00,74.00,0.00,0.00,0.00,0.00,12.00,0.00,10.00,0.00,0.00,106.00,0.00,0.00,19.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00
Carmo da Mata,0.00,116.00,0.00,217.00,528.00,32.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00
Carmo de Minas,86.00,0.00,0.00,232.00,376.00,241.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00
Carmo do Cajuru,0.00,227.00,0.00,511.00,"1,261.00",43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,16.00,10.00,0.00,0.00,104.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carmo do Paranaíba,288.00,48.00,20.00,621.00,"1,238.00",71.00,0.00,0.00,175.00,0.00,0.00,0.00,0.00,15.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carmo do Rio Claro,4.00,0.00,0.00,358.00,427.00,278.00,0.00,259.00,7.00,0.00,0.00,0.00,0.00,29.00,9.00,0.00,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carmópolis de Minas,47.00,0.00,0.00,355.00,627.00,215.00,292.00,0.00,165.00,0.00,0.00,0.00,0.00,37.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.50,0.00,0.00,0.00,0.00,0.00,0.00
Carneirinho,77.00,1.00,16.00,247.00,506.00,0.00,0.00,0.00,106.00,0.00,0.00,0.00,0.00,32.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carrancas,0.00,34.00,0.00,81.00,250.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carvalhópolis,30.00,30.00,0.00,70.00,237.00,0.00,208.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,14.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carvalhos,0.00,0.00,0.00,60.00,170.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00
Casa Grande,0.00,0.00,0.00,30.00,85.00,38.00,165.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cascalho Rico,28.00,0.00,0.00,51.00,95.00,60.00,165.00,0.00,8.00,0.00,0.00,0.00,0.00,10.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cássia,29.00,0.00,124.00,268.00,755.00,123.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,15.00,0.00,0.00,257.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cataguases,267.00,516.00,230.00,966.00,"1,118.00",0.00,628.00,0.00,434.00,0.00,0.00,0.00,0.00,139.00,66.00,221.00,0.00,0.00,63.00,0.00,0.00,0.00,78.50,0.00,0.00,0.00,0.00,0.00,0.00
Catas Altas,0.00,78.00,0.00,126.00,326.00,52.00,0.00,64.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Catas Altas da Noruega,0.00,26.00,0.00,98.00,0.00,41.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Catuji,0.00,30.00,0.00,250.00,281.00,241.00,0.00,0.00,118.00,0.00,0.00,0.00,0.00,19.00,15.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Catuti,40.00,55.00,0.00,117.00,158.00,81.00,0.00,82.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Caxambu,277.00,51.00,39.00,349.00,845.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.00,58.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00
Cedro do Abaeté,31.00,0.00,26.00,0.00,0.00,0.00,78.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Central de Minas,0.00,42.00,0.00,184.00,345.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,8.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Centralina,143.00,0.00,0.00,194.00,243.00,0.00,308.00,0.00,66.00,0.00,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chácara,0.00,26.00,0.00,67.00,181.00,0.00,170.00,0.00,19.00,0.00,0.00,0.00,0.00,24.00,13.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chalé,25.00,40.00,0.00,157.00,91.00,51.00,96.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chapada do Norte,183.00,0.00,0.00,263.00,220.00,170.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,163.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chapada Gaúcha,80.00,72.00,0.00,300.00,426.00,331.00,111.00,290.00,0.00,0.00,0.00,0.00,0.00,17.00,9.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chiador,0.00,0.00,9.00,58.00,159.00,93.00,151.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cipotânea,0.00,0.00,0.00,110.00,0.00,170.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Claraval,42.00,0.00,0.00,115.00,240.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Claro dos Poções,0.00,83.00,0.00,180.00,297.00,18.00,0.00,17.00,73.00,0.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cláudio,73.00,214.00,0.00,530.00,"1,143.00",147.00,469.00,50.00,304.00,0.00,0.00,0.00,0.00,86.00,79.00,34.00,0.00,0.00,120.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00
Coimbra,51.00,47.00,0.00,145.00,284.00,44.00,0.00,0.00,150.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Coluna,0.00,0.00,0.00,176.00,118.00,237.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,17.00,0.00,72.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00
Comendador Gomes,45.00,0.00,0.00,62.00,218.00,0.00,174.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Comercinho,91.00,0.00,0.00,159.00,219.00,194.00,0.00,101.00,74.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Conceição da Aparecida,122.00,0.00,49.00,180.00,457.00,133.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,10.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00
Conceição da Barra de Minas,0.00,0.00,0.00,83.00,197.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Conceição das Alagoas,412.00,6.00,0.00,621.00,"1,780.00",0.00,685.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,26.00,108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Conceição das Pedras,0.00,20.00,0.00,56.00,94.00,9.00,0.00,0.00,49.00,0.00,0.00,0.00,0.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Conceição de Ipanema,38.00,0.00,0.00,87.00,0.00,170.00,0.00,193.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Conceição do Mato Dentro,21.00,61.00,0.00,485.00,437.00,157.00,144.00,31.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,30.00,0.00,18.00,0.00,0.00,0.00,0.00,15.50,0.00,0.00,0.00,0.00,0.00,0.00
Conceição do Pará,0.00,32.00,0.00,102.00,0.00,90.00,0.00,43.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Conceição do Rio Verde,127.00,0.00,0.00,222.00,528.00,35.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,30.00,15.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00
Conceição dos Ouros,161.00,0.00,0.00,251.00,594.00,63.00,0.00,60.00,84.00,0.00,0.00,0.00,0.00,24.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00
Cônego Marinho,28.00,33.00,55.00,113.00,0.00,227.00,0.00,146.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Confins,10.00,103.00,0.00,180.00,372.00,0.00,128.00,0.00,31.00,0.00,0.00,0.00,0.00,36.00,30.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Congonhal,121.00,0.00,0.00,186.00,587.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Congonhas,190.00,117.00,0.00,"1,230.00","2,045.00",0.00,"1,714.00",0.00,"1,563.00",0.00,0.00,0.00,0.00,98.00,73.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,169.00,0.00,0.00,0.00,0.00,0.00,0.00
Congonhas do Norte,0.00,0.00,0.00,92.00,35.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Conquista,33.00,12.00,0.00,133.00,385.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Conselheiro Lafaiete,551.00,0.00,143.00,"2,086.00","4,048.00",276.00,"2,672.00",57.00,331.00,0.00,0.00,0.00,0.00,150.00,32.00,202.00,0.00,0.00,0.00,20.00,0.00,42.00,78.50,0.00,0.00,0.00,0.00,0.00,0.00
Conselheiro Pena,40.00,57.00,35.00,372.00,626.00,91.00,92.00,61.00,205.00,0.00,0.00,0.00,0.00,17.00,5.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Consolação,25.00,13.00,0.00,42.00,56.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,8.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Contagem,67.00,"1,215.00",20.00,"7,342.00","20,695.00",0.00,"15,508.00",0.00,"2,156.00",0.00,0.00,0.00,0.00,"1,316.00",456.00,"2,977.00",0.00,0.00,"1,465.00",388.00,590.00,563.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Coqueiral,0.00,50.00,0.00,189.00,40.00,126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
