Municipios,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Sér. Iniciais Urbana,Sér. Iniciais Rural,Sér. Finais Urbana,Sér. Finais Rural,Tempo Integral,Urbano,Rural,Tempo Integral,Integ. a Ed. Prof.,Educação Especial,AEE,Aval. no Proc.,Integ. à Ed. Prof. de nível médio,Educação Indigena/Quilombola,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Ed. Especial,Ensino Fund. Sér. Finais Rural,Ensino Médio Rural,Ensino Médio Integ. à Ed. Prof.,Ed. Indíg./ Quil.,EJA - Aval. no Proc.,EJA - Int Ed. Profis. de Nível Médio
Alto Rio Doce,0.00,63.00,0.00,237.00,406.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alvarenga,0.00,115.00,0.00,93.00,0.00,176.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alvinópolis,0.00,27.00,0.00,157.00,427.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,40.00,0.00,0.00,118.00,0.00,96.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alvorada de Minas,0.00,40.00,0.00,133.00,0.00,109.00,0.00,64.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amparo do Serra,0.00,0.00,0.00,110.00,215.00,91.00,0.00,96.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andradas,373.00,0.00,0.00,725.00,995.00,328.00,0.00,0.00,321.00,0.00,0.00,0.00,0.00,29.00,13.00,29.00,0.00,0.00,30.00,38.00,0.00,84.00,42.50,0.00,0.00,0.00,0.00,0.00,0.00
Andrelândia,37.00,0.00,0.00,202.00,1.00,0.00,0.00,0.00,976.00,0.00,0.00,0.00,0.00,1.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,9.50,0.00,0.00,0.00,0.00,0.00,0.00
Angelândia,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,702.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antônio Carlos,0.00,26.00,0.00,251.00,218.00,90.00,0.00,0.00,108.00,0.00,0.00,0.00,0.00,17.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antônio Dias,0.00,0.00,0.00,212.00,0.00,320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,101.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antônio Prado de Minas,0.00,14.00,0.00,28.00,67.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Araçaí,0.00,24.00,0.00,48.00,138.00,0.00,144.00,0.00,29.00,0.00,0.00,0.00,0.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aracitaba,0.00,0.00,0.00,29.00,69.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Araçuaí,0.00,165.00,0.00,734.00,281.00,335.00,0.00,297.00,136.00,0.00,0.00,0.00,0.00,19.00,5.00,28.00,0.00,40.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00
Araguari,651.00,0.00,285.00,"1,318.00","2,300.00",387.00,722.00,227.00,221.00,0.00,0.00,0.00,0.00,100.00,79.00,199.00,0.00,0.00,243.00,0.00,0.00,0.00,117.50,0.00,0.00,0.00,0.00,0.00,0.00
Arantina,60.00,0.00,0.00,65.00,202.00,0.00,179.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Araponga,0.00,0.00,0.00,118.00,0.00,318.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
