Municipios,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Sér. Iniciais Urbana,Sér. Iniciais Rural,Sér. Finais Urbana,Sér. Finais Rural,Tempo Integral,Urbano,Rural,Tempo Integral.1,Integ. a Ed. Prof.,Educação Especial,AEE,Aval. no Proc.,Integ. à Ed. Prof. de nível médio,Educação Indigena/Quilombola,Creche Integral.1,Creche Parcial.1,Pré-Escola Integral.1,Pré-Escola Parcial.1,Ed. Especial,Ensino Fund. Sér. Finais Rural,Ensino Médio Rural,Ensino Médio Integ. à Ed. Prof.,Ed. Indíg./ Quil.,EJA - Aval. no Proc.,EJA - Int Ed. Profis. de Nível Médio,Total Matriculados
Argirita,0.0,69.0,0.0,53.0,148.0,14.0,141.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0
Aricanduva,45.0,0.0,0.0,107.0,220.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0
Arinos,79.0,48.0,0.0,304.0,398.0,375.0,0.0,249.0,18.0,0.0,0.0,0.0,0.0,36.0,17.0,86.0,0.0,0.0,87.0,0.0,0.0,67.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,1908.0
Astolfo Dutra,59.0,15.0,0.0,287.0,633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.0
Ataléia,0.0,68.0,0.0,283.0,216.0,196.0,57.0,0.0,29.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.0
Augusto de Lima,0.0,37.0,0.0,111.0,299.0,0.0,168.0,0.0,76.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0
Baependi,122.0,43.0,0.0,306.0,559.0,66.0,382.0,0.0,44.0,0.0,0.0,0.0,0.0,46.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.0
Baldim,0.0,50.0,0.0,186.0,447.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0
Bambuí,0.0,31.0,0.0,273.0,675.0,124.0,0.0,90.0,34.0,0.0,0.0,0.0,0.0,47.0,32.0,23.0,0.0,0.0,167.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1520.0
Bandeira,0.0,31.0,0.0,85.0,239.0,83.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0
Bandeira do Sul,119.0,0.0,0.0,175.0,304.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0
Barão de Cocais,0.0,169.0,0.0,686.0,1705.0,107.0,686.0,0.0,74.0,0.0,0.0,0.0,0.0,158.0,38.0,19.0,0.0,0.0,0.0,52.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3728.0
Barão de Monte Alto,105.0,0.0,0.0,130.0,287.0,37.0,42.0,0.0,45.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0
Barbacena,53.0,308.0,0.0,1305.0,2421.0,319.0,1075.0,132.0,389.0,0.0,0.0,0.0,0.0,279.0,138.0,19.0,0.0,93.0,126.0,24.0,234.0,62.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,7090.0
Barra Longa,0.0,33.0,0.0,115.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0
Barroso,236.0,57.0,0.0,493.0,851.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,8.0,4.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1952.0
Bela Vista de Minas,0.0,126.0,0.0,241.0,440.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,893.0
Belmiro Braga,0.0,0.0,0.0,71.0,53.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
Belo Horizonte,5516.0,11529.0,766.0,19758.0,32541.0,0.0,33887.0,0.0,45385.0,0.0,0.0,0.0,0.0,3337.0,1057.0,15082.0,0.0,0.0,11557.0,400.0,9984.0,1085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191884.0
Belo Oriente,0.0,450.0,0.0,733.0,1702.0,91.0,786.0,47.0,0.0,0.0,0.0,0.0,0.0,129.0,45.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.0
Belo Vale,0.0,53.0,0.0,150.0,374.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0
Berilo,109.0,0.0,0.0,130.0,0.0,137.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0
Berizal,31.0,0.0,0.0,127.0,271.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0
Bertópolis,0.0,0.0,0.0,84.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0
Betim,2117.0,452.0,116.0,2828.0,20442.0,159.0,16087.0,0.0,2158.0,0.0,0.0,0.0,0.0,1047.0,792.0,3109.0,0.0,0.0,2081.0,1424.0,288.0,4924.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,58107.0
Bias Fortes,0.0,0.0,0.0,62.0,64.0,48.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0
Bicas,42.0,81.0,41.0,223.0,586.0,17.0,266.0,0.0,125.0,0.0,0.0,0.0,0.0,33.0,16.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1561.0
